aesthetic,related
2000s Virtual Singer,"['2010s Internet', 'Bubblegum Dance', 'Emo', 'Frutiger Aero', 'Frutiger Metro', 'Scene', 'Silicon Dreams', 'Webcore', 'Y2K']"
2010s Internet,"['2000s Virtual Singer', 'Anime New Moon', 'Cyber Stylin%27', 'Frutiger Aero', 'Frutiger Metro', 'Gamercore', 'Hands Up', 'Hipster', 'Imaginarium', 'Internet Awesomesauce', 'LOLcore', 'Major League Gaming', 'Nostalgiacore', 'Old Meme', 'OtoMAD', 'Pixelboard', 'Scene', 'Skeuomorphism', 'Technoneko2000', 'Tecktonik']"
2014 Girly,"['2014 Tumblr', 'Barbiecore', 'Girly Girl', 'Pale Grunge', 'Pink Princess', 'Quality Tumblr', 'Shabby Chic']"
2014 Tumblr,"['2014 Girly', 'Indie', 'Soft Grunge', 'Pastel Gore']"
2020s E-Kid,"['Cybergoth', 'E-Boy', 'E-Girl', 'Emo', 'Goblincore', 'Hyperpop', 'Mallgoth', 'Hot Topic', 'Pastel Punk', 'Dual Kawaii', 'Pastel Goth', 'Sanriocore', 'Cutecore', 'Scene']"
2020s Gamer,[]
2K1,"['Bleak Crush', 'Brutal Industrial', 'Cheiron Crush', 'Chromecore', 'Dark Y2K', 'ElectroPop 08', 'Emo', 'FantasY2K', 'Frutiger Aero', 'Hip-Hop', 'McBling', 'Minivan Rock', 'MTV Green Sky', 'MTV 2 Overcast', 'Surf Crush', 'The WB Crush', 'Teenpunk', 'Total Afternoon Live', 'UrBling', 'Y2K', '2K5', '2K7']"
2K5,"['Bohemian', 'Bright Tertiaries', 'McBling', 'MTV Green Sky', 'MTV 2 Overcast', 'The WB Crush', '2K1', '2K7', '7 HD']"
2K7,"['Cheiron Crush', 'Chromecore', 'Cybercore', 'Dark Aero', 'Dark Y2K', 'ElectroPop 08', 'Emo', 'Frutiger Aero', 'Frutiger Eco', 'Frutiger Metro', 'McBling', 'MTV Green Sky', 'Scene', 'UrBling', '2K1']"
2 Tone,"['Belgian New Beat', 'New Wave', 'Punk']"
50s Suburbia,"['Americana', 'American Kitsch', 'Diner', 'Dreamcore', 'Nostalgiacore', 'Vintage Americana', 'Suburban Gothic']"
7 HD,"['Corporate Grunge', 'Gamercore', 'Modernism', 'Sega Uranus', 'UrBling']"
80s Heartthrob,"['80 Thousand', 'Synthwave', 'TGIF Crush']"
80 Thousand,"['80s Heartthrob', 'Arcadecore', 'ElectroPop 08', 'McBling', 'Synthwave', 'Vaporwave']"
808 Volt Mix,['Hip-Hop']
8-Bit,"['Lo-Fi', 'Low Poly', 'Nintencore', 'Nostalgiacore', 'Pixelboard', 'Pixelscape', 'Pixel Medieval Fantasy', 'Pixel UI', 'So Retro']"
90s Cool,"['Y2K', 'Cybercore', 'Teenpunk', 'Alternative', 'Cyberpunk', 'Nu-Metal', 'Technocore', 'Abstract Tech', 'Biopunk', 'Techwear', 'Raver', '2K1', 'Cyberprep']"
Abstract Tech,"['Artificial Nature', 'Bright Tertiaries', 'Corporate', 'Cybercore', 'Cyberprep', 'Cyberpunk', 'Dark Aero', 'DORFic', 'Frutiger Aero', 'Frutiger Aurora', 'Frutiger Eco', 'Glassmorphism', 'Hacker', 'Helvetica Aqua Aero', 'Hexatron', 'Med-Tech Visions', 'Metalheart', 'Robotcore', 'Skeuomorphism', 'Technocore', 'Technoneko2000', 'Vectorheart']"
Acid Design,"['Acidwave', 'Belgian New Beat', 'Breakcore', 'Cybercore', 'Cyberpunk', 'Neo-Tribal', 'Neubrutalism', 'Psychedelica', 'Raver', 'Retro-Futurism', 'Synthwave']"
Acid Pixie,"['Acidwave', 'Biopunk', 'Corporate Hippie', 'Devilcore', 'Drain', 'Ethereal Death', 'Glowwave', 'Hyperpop', 'Imaginarium', 'Psychedelica', 'Raver', 'Voidpunk', 'Witch House']"
Acidwave,"['Acid Design', 'Acid Pixie', 'Belgian New Beat', 'Chicha', 'Club', 'Corporate Hippie', 'Cyberdelic', 'Dokukawaii', 'Drugcore', 'Glowwave', 'Hippie', 'Imaginarium', 'Indie Kid', 'Liminal Space', 'Manguebeat', 'Mind Murder', 'Psychedelica', 'Raver', 'Stoner', 'Toxiccore']"
Adventurecore,"['Adventure Pulp', 'Cabincore', 'Campcore', 'Cryptidcore', 'Desertwave', 'Fieldcore', 'Goblincore', 'Junglecore', 'Naturecore', 'Wuxia']"
Adventure Pulp,"['Adventurecore', 'Americana', 'Atompunk', 'Cryptidcore', 'Desertwave', 'Dieselpunk', 'Junglecore', 'Pirate', 'Spy Fiction', 'Tiki', 'Tropical', 'Utopian Scholastic', 'Victorian', 'Wanderlust', 'Western']"
Aeropittura,"['Art Deco', 'Constructivism', 'Cubism', 'De Stijl', 'Dieselpunk', 'Military', 'Precisionism', 'Retro-Futurism', 'Surrealism', 'Vorticism']"
Aestheticism,"['Arts and Crafts Movement', 'Dandy', 'Soft Colonial Wanderlust', 'Twee', 'Victorian']"
Aetherpunk,"['Dungeonpunk', 'Fantasy', 'Steampunk', 'Teslapunk']"
Afrofuturism,"['Androgynous', 'Art Hoe', 'Cyberghetto', 'Cyberpunk', 'Disco', 'Glam Rock', 'R%26B', 'Real Life Super Hero', 'Seapunk', 'Solarpunk', 'Synthwave']"
Afropunk,"['Punk', 'Hip-Hop', 'Nu-Metal', 'LOLcore']"
Afro-Victorian,"['Afrofuturism', 'La Sape', 'Victorian']"
After Hours,"['City Pop', 'Dark Paradise', 'Dazecore', 'Doomer', 'Ethereal', 'Film Noir', 'Golden Hour', 'Joyride', 'Liminal Space', 'Lo-Fi', 'Mallsoft', 'Nostalgiacore', 'Post-Apocalyptic', 'Seapunk', 'Spiritcore', 'Synthwave', 'Urbancore', 'Vaporwave']"
Agropeople,"['Cottagecore', 'Western']"
Ah Beng,"['Baddie', 'Bombardier', 'Bosozoku', 'Cagole', 'Cani', 'Chav', 'Choni', 'Dizela%C5%A1i', 'Dresiarz', 'Eshay', 'Gopnik', 'McBling', 'Scrapper', 'Racaille', 'Raxet']"
Alien,"['Bastardcore', 'Cryptidcore', 'Feralcore', 'Glowwave', 'Holosexual', 'Raver', 'Spacecore', 'Synthwave', 'Vaporwave', 'Voidpunk', 'Wixa']"
Alternative,"['Beatnik', 'Dark Academia', 'Doomer', 'Emo', 'Girl Crush', 'Goth', 'Grunge', 'Indie', 'Minivan Rock', 'Motomami', 'Nu-Metal', 'Punk', 'Pokem%C3%B3n', 'Poppare', 'Post-Punk', 'Vh1 Sepia Sky']"
Amateur Photography,"['Weirdcore', 'Surrealism']"
Americana,"['Bro', 'Cottagecore', 'Country', 'Flapper', 'Greaser', 'Long Island', 'Miami Metro', 'Nostalgiacore', 'Prairie', 'Rockabilly', 'Scrapper', 'Wanderlust', 'Western', 'Vintage Americana']"
American Gothic,"['Gothic', 'Southern Gothic', 'New England Gothic', 'Midwest Gothic', 'Regional Gothic', 'Suburban Gothic']"
American Kitsch,"['50s Suburbia', 'Americana', 'Camp', 'Diner', 'Heroic Realism', 'Kitschy', 'Pin-up', 'Vintage Americana']"
American Pioneers,"['Adventurecore', 'Americana', 'Campcore', 'Cottagecore', 'Prairie', 'Western']"
American Revolution,"['Americana', 'American Pioneers', 'Historical Americana']"
American Thanksgiving,"['Americana', 'Autumn', 'Halloween', 'Historical Americana']"
American Tourist Traps,['Americana']
Analog Horror,"['Deep TikTok', 'Digital Horror', 'Horror', 'Liminal Space', 'Nostalgiacore', 'Technocore', 'Weirdcore']"
Ancient Egypt,"['Hellenic', 'Art Deco', 'Hyperborean']"
Ancient Y2K,"['Y2K', 'Cybercore', 'FantasY2K', 'Medieval Fantasy', 'Medieval', 'Dungeoncore', 'Ancient Egypt', 'Cybercore', 'Low Poly', 'Dungeon Synth']"
Androgynous,"['Club Kids', 'Cybergoth', 'Deathrock', 'Femboy', 'Gamine', 'Glam Rock', 'Goth', 'Heroin Chic', 'New Romantic', 'Queercore', 'Tomboy', 'Trad Goth', 'Visual Kei', 'Voidpunk']"
Angelcore,"['Anime New Moon', 'Artcore', 'Baroque', 'Bloomcore', 'Devilcore', 'Dreamy', 'Ethereal', 'Hellenic', 'Hermaphroditus', 'Mizuiro', 'Neoclassicism', 'Pearly', 'Rococo', 'Sacricore', 'Softie', 'Spanish Golden Age']"
Anglocore,['Americana']
Anglo Gothic,"['After Hours', 'Chav', 'Dark Academia', 'Darkest Academia', 'Regional Gothic', 'Suburban Gothic', 'Goth', 'Trad Goth', 'Post-Punk', 'Cryptidcore', 'Britpop']"
Angura,"['Aristocrat', 'Ero-Guro', 'Goth', 'Visual Kei', 'Shironuri']"
Animecore,"['Anime New Moon', 'Blingeecore', 'Bubblegum Dance', 'Cutecore', 'Cartooncore', 'Cyberdelic', 'Dead Inside', 'Denpa', 'Drain', 'E-Boy', 'E-Girl', 'Ero-Guro', 'Erokawa', 'Femcel Weeaboo', 'Geek', 'Gesugao', 'Goth Punk', 'Itasha', 'Kawaii', 'Kawaii Gamer', 'Moe', 'Moe Swag', 'Nanchatte Seifuku', 'Neko', 'Neo-Pop', 'Nostalgiacore', 'LOLcore', 'OtoMAD', 'Pokem%C3%B3n', 'Sextrance', 'Shoujo', 'Technoneko2000', 'Weeaboo', 'Webcore', 'Wota', 'Xpiritualism', 'Yami Kawaii', 'Yandere', 'Yume Kawaii']"
Anime New Moon,"['Angelcore', 'Animecore', 'Artcore', 'Blue Night', 'Cybercore', 'Ethereal', 'Frutiger Aero', 'Hands Up', 'Lunarpunk', 'Neko', 'Raver', 'Spiritcore', 'Technoneko2000', 'Vampire']"
Anti-Fashion,"['Avant-garde', 'Club Kids', 'Grunge', 'Normcore', 'Punk']"
Antique Grunge,"['Delicate Sweet', 'Fairycore', 'Grunge', 'Kinderwhore', 'Morute', 'Retro-Futurism', 'Steampunk', 'Wabi-Sabi']"
Appalachian Gothic,"['American Gothic', 'Adventurecore', 'Suburban Gothic', 'Regional Gothic', 'Cabincore', 'After Hours', 'Cryptidcore', 'Midwest Gothic', 'Southern Gothic', 'New England Gothic', 'Gothic']"
Arabfunny,"['Captchacore', 'Deep TikTok', 'Xpiritualism', 'Bastardcore', 'Deep Fried Meme', 'Funwaacore', 'Larpercore', 'Surreal Memer', 'Edgy Meme']"
Arabian Nights,"['Ancient Egypt', 'Baroque', 'Desertwave', 'Hellenic', 'Romanticism', 'Royalcore']"
Arcadecore,"['Analog Horror', 'Animecore', 'Casino', 'Cuddle Party', 'Cybercore', 'Cyberdelic', 'Cybergoth', 'Cyberpunk', 'Fanfare', 'Future Funk', 'Glowwave', 'Hot Topic', 'Kidcore', 'Mallgoth', 'Nostalgiacore', 'Pixel Medieval Fantasy', 'Raver', 'Scene', 'So Retro', 'Stoner', 'Synthwave', 'Tweencore', 'Vacation Dadcore', 'Vaporwave', 'Vectorcore', 'Webcore', '80 Thousand']"
Aristocrat,"['Angura', 'Boystyle', 'Dandy', 'Goth', 'Gothic', 'Gothic Lolita', 'Medieval', 'Lolita', 'Romantic Goth', 'Steampunk', 'Vampire', 'Victorian', 'Victorian Goth', 'Visual Kei']"
Art Academia,"['Art Hoe', 'Ballet Academia', 'Chaotic Academia', 'Dark Academia', 'Figuration Narrative', 'Light Academia', 'Musical Academia', 'Studyblr', 'Studyplace', 'Writer Academia']"
Artcore,"['Angelcore', 'Baroque', 'Breakcore', 'Dreamy', 'Ethereal', 'Gothic', 'Lolita', 'Raver', 'Italian Renaissance']"
Art Deco,"['Aeropittura', 'Art Academia', 'Decopunk', 'Dieselpunk', 'Flapper', 'Hollywood Regency', 'Nautical', 'Neo-Breton Style', 'Modernisme', 'Preppy', 'Taisho Roman']"
Art Hoe,"['Afrofuturism', 'Art Academia', 'Cheiron Crush', 'Cottagecore', 'Craftcore', 'E-Boy', 'Hippie', 'Indie Sleaze', 'MTV Green Sky', 'Normcore', 'Peoplehood', 'Photorealism', 'Picniccore', 'Plant Mom', 'Pop Art', 'Scrapbook', 'Surf Crush', 'Urbancore', 'Vorticism', 'Indie', 'Twee']"
Artificial Nature,"['Abstract Tech', 'Biopunk', 'Cyberparadism', 'Cyberprep', 'Cyberpunk']"
Art in the Chapels,"['Cubism', 'Gothic', 'Modernism', 'Neo-Breton Style', 'Romanesque']"
